Akira Kurosawa
Alejandro González Iñárritu
Alfonso Cuarón
Ang Lee
Anthony Russo
Barry Jenkins
Bong Joon-ho
Charlie Chaplin
Christopher Nolan
Clint Eastwood
Damien Chazelle
David Fincher
David Lean
Fernando Meirelles
Florian Henckel von Donnersmarck
Francis Ford Coppola
Frank Capra
Frank Darabont
George Miller
Guillermo del Toro
Hayao Miyazaki
Ingmar Bergman
Irvin Kershner
James Cameron
Jean-Pierre Jeunet
Joel Coen
John McTiernan
Lana Wachowski
Luc Besson
Martin Scorsese
Mathieu Kassovitz
Mel Gibson
Michel Hazanavicius
Milos Forman
Nick Cassavetes
Olivier Nakache
Park Chan-wook
Peter Farrelly
Peter Jackson
Quentin Tarantino
Ridley Scott
Robert Zemeckis
Roberto Benigni
Roger Allers
Ryan Coogler
Sean Baker
Sergio Leone
Sidney Lumet
Stanley Kubrick
Steven Spielberg
Tate Taylor
Terry George
Terry Gilliam, Terry Jones
Todd Phillips
Tom Hooper
Tony Kaye
Victor Fleming
Wes Anderson
William Friedkin
